locus	sex	_sex	log2fluor	Foldx	scaffold	start location
FBtr0169175	male	female	0.9176	1.888970276	6496	23664379
FBtr0169177	male	female	0.6963	1.620343853	6496	23629193
FBtr0169180	male	female	0.5985	1.514141463	6496	23591549
FBtr0169181	male	female	-1.1254	0.458374915	6496	23444856
FBtr0169182	male	female	-1.0247	0.491512496	6496	23443696
FBtr0169186	male	female	3.9184	15.12014427	6496	23402738
FBtr0169188	male	female	-1.1092	0.463551007	6496	23385927
FBtr0169190	male	female	-0.7089	0.611786425	6496	23373180
FBtr0169191	male	female	-1.1547	0.449159577	6496	23295257
FBtr0169193	male	female	-1.0502	0.482901215	6496	23190544
FBtr0169194	male	female	4.1434	17.67208062	6496	23179983
FBtr0169196	male	female	0.6866	1.609485969	6496	23052375
FBtr0169198	male	female	2.5236	5.75015163	6496	23003450
FBtr0169202	male	female	1.5987	3.028702765	6496	22866000
FBtr0169203	male	female	0.6706	1.591734814	6496	22812119
FBtr0169204	male	female	4.4607	22.01935035	6496	22776484
FBtr0169205	male	female	-0.9077	0.533034198	6496	22746363
FBtr0169206	male	female	-0.7371	0.599944105	6496	22742076
FBtr0169207	male	female	0.7055	1.630709728	6496	22626294
FBtr0169209	male	female	-2.8496	0.138734644	6496	22613479
FBtr0169210	male	female	-1.5446	0.34279073	6496	22609563
FBtr0169212	male	female	1.3469	2.543649695	6496	22585824
FBtr0169214	male	female	0.6762	1.597925337	6496	22550578
FBtr0169216	male	female	3.2103	9.255429884	6496	22544265
FBtr0169217	male	female	1.1524	2.222833672	6496	22441417
FBtr0169221	male	female	0.8985	1.864126804	6496	22378285
FBtr0169222	male	female	0.8978	1.863222543	6496	22334004
FBtr0169227	male	female	2.9799	7.889314771	6496	22290045
FBtr0169228	male	female	2.9719	7.845688191	6496	22288192
FBtr0169229	male	female	4.3483	20.36895413	6496	22285929
FBtr0169232	male	female	4.9566	31.05169248	6496	22234782
FBtr0169233	male	female	4.5578	23.55236452	6496	22198725
FBtr0169234	male	female	4.2927	19.59888941	6496	22192660
FBtr0169235	male	female	0.9108	1.880087751	6496	22179476
FBtr0169236	male	female	1.2268	2.340472802	6496	22166492
FBtr0169237	male	female	4.8269	28.38191441	6496	22072726
FBtr0169239	male	female	1.5468	2.921683698	6496	21965090
FBtr0169240	male	female	4.5463	23.36537036	6496	21938860
FBtr0169241	male	female	2.2875	4.882093753	6496	21900710
FBtr0169242	male	female	2.4359	5.411017848	6496	21886071
FBtr0169244	male	female	-1.4002	0.378876615	6496	21874203
FBtr0169246	male	female	-1.3479	0.392863489	6496	21866968
FBtr0169249	male	female	-1.3873	0.382279568	6496	21827710
FBtr0169250	male	female	-1.2238	0.428153493	6496	21825277
FBtr0169251	male	female	-3.5216	0.087074856	6496	21813991
FBtr0169254	male	female	-1.3004	0.406013612	6496	21792589
FBtr0169256	male	female	4.1718	18.02340891	6496	21739574
FBtr0169257	male	female	2.8965	7.446177463	6496	21445349
FBtr0169258	male	female	3.7338	13.30410911	6496	21263497
FBtr0169259	male	female	3.2111	9.260563607	6496	21214653
FBtr0169260	male	female	0.8658	1.822349912	6496	21052097
FBtr0169262	male	female	1.0692	2.098269517	6496	21000963
FBtr0169263	male	female	-0.7006	0.615316251	6496	20996216
FBtr0169264	male	female	-0.6377	0.642736808	6496	20994797
FBtr0169266	male	female	4.858	29.00038202	6496	20974179
FBtr0169267	male	female	5.2474	37.98610805	6496	20971061
FBtr0169269	male	female	-1.1597	0.447605603	6496	20941910
FBtr0169275	male	female	-1.6712	0.313992064	6496	20676803
FBtr0169276	male	female	-1.3413	0.394664867	6496	20670544
FBtr0169280	male	female	-1.1409	0.453476596	6496	20611520
FBtr0169281	male	female	0.6856	1.608370745	6496	20588670
FBtr0169286	male	female	-0.8369	0.559845248	6496	20542521
FBtr0169289	male	female	-2.6171	0.162995044	6496	20443792
FBtr0169291	male	female	-1.1583	0.448040173	6496	20414978
FBtr0169292	male	female	-1.1086	0.463743832	6496	20414774
FBtr0169294	male	female	-0.6314	0.645549666	6496	20258229
FBtr0169297	male	female	0.599	1.514666316	6496	20142803
FBtr0169299	male	female	-1.7126	0.30510971	6496	20120332
FBtr0169300	male	female	-0.7071	0.612550206	6496	20116991
FBtr0169301	male	female	-1.0993	0.466742906	6496	20112901
FBtr0169304	male	female	-1.4668	0.361783872	6496	20086421
FBtr0169305	male	female	-1.155	0.449066186	6496	20077802
FBtr0169306	male	female	-0.7169	0.608403349	6496	20076690
FBtr0169310	male	female	1.4427	2.718291172	6496	20055887
FBtr0169312	male	female	0.9518	1.934284492	6496	20035241
FBtr0169313	male	female	-0.7144	0.609458546	6496	20031748
FBtr0169314	male	female	-1.1225	0.459297234	6496	20029614
FBtr0169315	male	female	-1.4005	0.378797838	6496	20002465
FBtr0169318	male	female	0.6417	1.560166499	6496	19945011
FBtr0169321	male	female	-0.6773	0.625334492	6496	19879634
FBtr0169322	male	female	3.5804	11.96211013	6496	19873862
FBtr0169323	male	female	3.0937	8.536827336	6496	19870516
FBtr0169327	male	female	-0.7856	0.580110646	6496	19704963
FBtr0169328	male	female	1.117	2.168954818	6496	19686018
FBtr0169331	male	female	3.6556	12.60216763	6496	19667829
FBtr0169333	male	female	0.9287	1.903559942	6496	19643873
FBtr0169339	male	female	4.6928	25.86268222	6496	19496223
FBtr0169341	male	female	4.701	26.01009926	6496	19494770
FBtr0169342	male	female	4.6763	25.56857761	6496	19486577
FBtr0169343	male	female	4.7058	26.09678175	6496	19473907
FBtr0169344	male	female	0.7962	1.736521171	6496	19439792
FBtr0169345	male	female	1.2841	2.435300834	6496	19302294
FBtr0169346	male	female	1.3385	2.528882489	6496	19284257
FBtr0169347	male	female	4.5516	23.45136511	6496	19264596
FBtr0169348	male	female	-1.272	0.414085331	6496	19235197
FBtr0169349	male	female	0.6195	1.536342633	6496	19214451
FBtr0169350	male	female	-1.2109	0.431999037	6496	19207560
FBtr0169352	male	female	-1.4462	0.36698678	6496	19204684
FBtr0169353	male	female	-1.6073	0.328212024	6496	19200656
FBtr0169354	male	female	4.3168	19.92903571	6496	19197975
FBtr0169355	male	female	2.0604	4.171019335	6496	19177533
FBtr0169360	male	female	1.1422	2.207173438	6496	18850368
FBtr0169363	male	female	-0.964	0.512633619	6496	18837199
FBtr0169364	male	female	1.1425	2.207632455	6496	18831797
FBtr0169366	male	female	2.7416	6.688116603	6496	18813505
FBtr0169367	male	female	-1.7327	0.300888318	6496	18806770
FBtr0169369	male	female	1.2922	2.449012266	6496	18716587
FBtr0169372	male	female	-0.7863	0.579829243	6496	18614385
FBtr0169376	male	female	-1.6691	0.314449446	6496	18552499
FBtr0169377	male	female	-2.2326	0.212774918	6496	18545486
FBtr0169378	male	female	-2.3241	0.199699137	6496	18542562
FBtr0169381	male	female	0.6894	1.612612712	6496	18519671
FBtr0169383	male	female	-0.6054	0.657289116	6496	18516334
FBtr0169384	male	female	-2.2275	0.213528419	6496	18509754
FBtr0169386	male	female	0.8097	1.75284691	6496	18484995
FBtr0169387	male	female	-0.6767	0.625594615	6496	18483897
FBtr0169388	male	female	-1.189	0.438606774	6496	18483220
FBtr0169389	male	female	-0.7468	0.595923894	6496	18482097
FBtr0169392	male	female	0.8075	1.750175989	6496	18477588
FBtr0169393	male	female	1.8243	3.541351385	6496	18469378
FBtr0169395	male	female	1.5357	2.899290713	6496	18464359
FBtr0169396	male	female	1.0602	2.085220575	6496	18457821
FBtr0169397	male	female	0.8717	1.829817797	6496	18428791
FBtr0169400	male	female	-1.7168	0.304222761	6496	18132137
FBtr0169401	male	female	-1.606	0.328507907	6496	18124557
FBtr0169402	male	female	-1.909	0.266277051	6496	18120779
FBtr0169404	male	female	-2.2314	0.212951973	6496	18118731
FBtr0169405	male	female	-2.2796	0.205954849	6496	18116357
FBtr0169407	male	female	-1.3231	0.399675211	6496	18022584
FBtr0169411	male	female	3.8447	14.36713009	6496	17845798
FBtr0169412	male	female	4.8289	28.42128739	6496	17843811
FBtr0169413	male	female	4.2387	18.87886334	6496	17841805
FBtr0169419	male	female	1.6344	3.104584071	6496	17704158
FBtr0169421	male	female	0.6959	1.619894661	6496	17686977
FBtr0169423	male	female	0.8227	1.768713039	6496	17677994
FBtr0169424	male	female	0.767	1.701727459	6496	17665537
FBtr0169426	male	female	-2.6733	0.156767673	6496	17484492
FBtr0169428	male	female	1.4692	2.768683226	6496	17478898
FBtr0169431	male	female	-1.6933	0.309218813	6496	17412456
FBtr0169433	male	female	-1.3661	0.387938536	6496	17341854
FBtr0169434	male	female	-0.8266	0.563856519	6496	17325386
FBtr0169440	male	female	-1.439	0.368822864	6496	17135494
FBtr0169441	male	female	-2.2592	0.20888778	6496	17131371
FBtr0169443	male	female	3.1102	8.635022877	6496	17053631
FBtr0169445	male	female	-0.6717	0.627766522	6496	17030857
FBtr0169446	male	female	-0.6022	0.658748648	6496	17027185
FBtr0169447	male	female	0.7017	1.626420157	6496	17024806
FBtr0169449	male	female	1.5366	2.901099948	6496	16987534
FBtr0169451	male	female	0.6918	1.615297612	6496	16898279
FBtr0169453	male	female	-1.2257	0.427589995	6496	16863100
FBtr0169454	male	female	2.4722	5.548893063	6496	16859183
FBtr0169455	male	female	-2.5421	0.171692628	6496	16853260
FBtr0169456	male	female	3.3409	10.13237168	6496	16811993
FBtr0169457	male	female	1.7541	3.373158242	6496	16740240
FBtr0169458	male	female	4.0025	16.02774992	6496	16739058
FBtr0169461	male	female	-0.7923	0.577422808	6496	16561303
FBtr0169467	male	female	-0.6141	0.653337339	6496	16493191
FBtr0169468	male	female	-1.3235	0.399564413	6496	16472494
FBtr0169469	male	female	-1.5133	0.35030901	6496	16442998
FBtr0169470	male	female	2.0549	4.15514839	6496	16438547
FBtr0169474	male	female	0.8743	1.833118436	6496	16421160
FBtr0169475	male	female	-1.5121	0.35060051	6496	16413042
FBtr0169479	male	female	-2.5576	0.169857874	6496	16315598
FBtr0169480	male	female	3.0651	8.369259611	6496	16279385
FBtr0169481	male	female	1.7977	3.476655215	6496	16274958
FBtr0169482	male	female	-0.7482	0.595345886	6496	16155757
FBtr0169483	male	female	2.6326	6.201426012	6496	16146871
FBtr0169484	male	female	1.0009	2.001248054	6496	16095508
FBtr0169485	male	female	-1.5855	0.333209168	6496	16084152
FBtr0169487	male	female	1.4585	2.748224764	6496	16078552
FBtr0169488	male	female	-0.6648	0.630776142	6496	16059162
FBtr0169489	male	female	-1.3854	0.382783354	6496	16050816
FBtr0169490	male	female	4.2302	18.7679608	6496	16044945
FBtr0169491	male	female	-1.3896	0.381670609	6496	16036078
FBtr0169492	male	female	-1.4211	0.373427479	6496	16026752
FBtr0169493	male	female	-1.5764	0.335317574	6496	16016285
FBtr0169494	male	female	1.3773	2.59781735	6496	16014390
FBtr0169495	male	female	-1.4713	0.360657167	6496	15992773
FBtr0169496	male	female	-1.1415	0.45328804	6496	15986501
FBtr0169498	male	female	-1.4695	0.361107427	6496	15892523
FBtr0169500	male	female	0.8159	1.760396002	6496	15882696
FBtr0169502	male	female	0.8211	1.766752561	6496	15863135
FBtr0169507	male	female	-1.9471	0.259337008	6496	15819288
FBtr0169508	male	female	-1.8918	0.26947064	6496	15816265
FBtr0169509	male	female	-0.8003	0.574229757	6496	15798010
FBtr0169510	male	female	1.0958	2.137315667	6496	15790527
FBtr0169511	male	female	-1.2096	0.432388483	6496	15781070
FBtr0169513	male	female	-1.5003	0.353479879	6496	15746123
FBtr0169515	male	female	-0.9033	0.534662352	6496	15723533
FBtr0169517	male	female	-0.8415	0.558063038	6496	15629426
FBtr0169518	male	female	-1.1164	0.461243345	6496	15628467
FBtr0169519	male	female	-0.776	0.583983697	6496	15624883
FBtr0169520	male	female	-0.8915	0.539053362	6496	15618270
FBtr0169522	male	female	-1.2452	0.421849413	6496	15597089
FBtr0169524	male	female	-1.6446	0.31983506	6496	15581034
FBtr0169525	male	female	-1.9123	0.265668669	6496	15578483
FBtr0169526	male	female	2.4225	5.360992066	6496	15577794
FBtr0169529	male	female	1.3781	2.599258286	6496	15532343
FBtr0169531	male	female	-0.7125	0.610261719	6496	15487807
FBtr0169532	male	female	1.0798	2.113743034	6496	15481083
FBtr0169534	male	female	0.7375	1.667284151	6496	15468183
FBtr0169539	male	female	3.4542	10.96018314	6496	15341146
FBtr0169542	male	female	-1.2998	0.406182503	6496	15268796
FBtr0169543	male	female	-1.2144	0.430952271	6496	15229850
FBtr0169546	male	female	-1.5716	0.336435069	6496	15206126
FBtr0169549	male	female	3.3486	10.18659509	6496	15183429
FBtr0169550	male	female	-1.2534	0.419458504	6496	15132704
FBtr0169551	male	female	-1.6592	0.316614668	6496	15129169
FBtr0169552	male	female	-1.4181	0.374204808	6496	15125888
FBtr0169553	male	female	-0.8956	0.537523599	6496	15123964
FBtr0169554	male	female	-1.2793	0.411995362	6496	15120946
FBtr0169555	male	female	-0.9882	0.504106339	6496	15115674
FBtr0169560	male	female	-1.2867	0.409887529	6496	15084802
FBtr0169563	male	female	-0.9283	0.525477173	6496	15022433
FBtr0169566	male	female	-0.7434	0.597329964	6496	14985323
FBtr0169567	male	female	1.0091	2.012655149	6496	14979583
FBtr0169569	male	female	-0.9908	0.503198665	6496	14967614
FBtr0169570	male	female	-1.7591	0.295432408	6496	14963200
FBtr0169571	male	female	-1.8184	0.283535248	6496	14956205
FBtr0169572	male	female	-1.0652	0.477906402	6496	14953424
FBtr0169575	male	female	-1.2766	0.412767132	6496	14928137
FBtr0169577	male	female	-1.0681	0.476946715	6496	14892411
FBtr0169580	male	female	-1.3661	0.387938536	6496	14846812
FBtr0169581	male	female	-1.5698	0.336855089	6496	14841845
FBtr0169583	male	female	-0.6411	0.641223854	6496	14823945
FBtr0169585	male	female	-0.6219	0.649814571	6496	14778758
FBtr0169586	male	female	-1.1397	0.453853944	6496	14762881
FBtr0169588	male	female	0.7301	1.658754064	6496	14757295
FBtr0169590	male	female	-0.6041	0.65788166	6496	14724385
FBtr0169591	male	female	3.448	10.91318268	6496	14720843
FBtr0169592	male	female	-1.2804	0.411681351	6496	14702518
FBtr0169593	male	female	-1.1083	0.463840275	6496	14690017
FBtr0169594	male	female	-0.9894	0.503687209	6496	14681364
FBtr0169595	male	female	-1.62	0.325335464	6496	14673768
FBtr0169597	male	female	0.6962	1.620231543	6496	14628660
FBtr0169601	male	female	-1.6165	0.326125691	6496	14567319
FBtr0169602	male	female	-0.6241	0.648824409	6496	14564839
FBtr0169603	male	female	-0.6697	0.628637395	6496	14563912
FBtr0169604	male	female	-0.6859	0.62161792	6496	14562331
FBtr0169609	male	female	2.6545	6.29628131	6496	14497520
FBtr0169612	male	female	-1.5869	0.332885976	6496	14458639
FBtr0169616	male	female	0.666	1.586667686	6496	14409879
FBtr0169617	male	female	-0.8498	0.554861651	6496	14403116
FBtr0169618	male	female	1.4303	2.695027511	6496	14400409
FBtr0169620	male	female	2.2457	4.742671684	6496	14368921
FBtr0169621	male	female	-1.0037	0.498719321	6496	14362306
FBtr0169622	male	female	-0.8866	0.540887327	6496	14359257
FBtr0169623	male	female	-1.6828	0.311477531	6496	14355526
FBtr0169626	male	female	0.6414	1.559842105	6496	14341611
FBtr0169627	male	female	4.1383	17.60971921	6496	14319147
FBtr0169628	male	female	1.4223	2.680124463	6496	14258945
FBtr0169629	male	female	-0.6002	0.6596625	6496	14220022
FBtr0169630	male	female	3.7214	13.19024997	6496	14205038
FBtr0169631	male	female	3.3657	10.30805332	6496	14188685
FBtr0169633	male	female	4.0026	16.02886092	6496	14170385
FBtr0169637	male	female	-1.2357	0.424636415	6496	14133809
FBtr0169638	male	female	1.0056	2.007778335	6496	14125874
FBtr0169639	male	female	-0.7036	0.614038066	6496	14092581
FBtr0169640	male	female	0.8243	1.770675693	6496	14084458
FBtr0169641	male	female	-0.7834	0.580995945	6496	14029063
FBtr0169642	male	female	-1.2997	0.406210659	6496	14026593
FBtr0169644	male	female	2.2734	4.834611627	6496	13999016
FBtr0169645	male	female	2.6339	6.207016582	6496	13989790
FBtr0169646	male	female	0.7549	1.687514619	6496	13966879
FBtr0169647	male	female	-0.7009	0.615188313	6496	13960822
FBtr0169648	male	female	-1.0002	0.49993069	6496	13954701
FBtr0169649	male	female	0.5971	1.512672844	6496	13909838
FBtr0169651	male	female	0.6332	1.551001412	6496	13732933
FBtr0169654	male	female	-0.6255	0.648195091	6496	13720919
FBtr0169656	male	female	-1.7229	0.302939163	6496	13709712
FBtr0169657	male	female	-1.8228	0.282671826	6496	13702797
FBtr0169661	male	female	0.9045	1.871895633	6496	13683617
FBtr0169662	male	female	2.0262	4.07330544	6496	13681736
FBtr0169665	male	female	-0.713	0.610050255	6496	13649631
FBtr0169666	male	female	2.2546	4.772019704	6496	13647370
FBtr0169668	male	female	-1.3324	0.397107083	6496	13635844
FBtr0169669	male	female	1.2339	2.352019465	6496	13616861
FBtr0169670	male	female	-0.6859	0.62161792	6496	13611800
FBtr0169671	male	female	4.2568	19.11720889	6496	13593615
FBtr0169672	male	female	0.7976	1.73820712	6496	13587997
FBtr0169677	male	female	-1.2942	0.407762215	6496	13426428
FBtr0169679	male	female	-1.6119	0.327167195	6496	13409586
FBtr0169680	male	female	-0.9789	0.50736644	6496	13408339
FBtr0169681	male	female	-0.6802	0.624078753	6496	13404623
FBtr0169682	male	female	-0.6802	0.624078753	6496	13402195
FBtr0169684	male	female	-1.4783	0.358911486	6496	13384390
FBtr0169685	male	female	0.6455	1.564281331	6496	13302066
FBtr0169687	male	female	-1.9283	0.262738587	6496	13272235
FBtr0169688	male	female	-0.9497	0.517740112	6496	13265853
FBtr0169689	male	female	-0.665	0.630688704	6496	13257007
FBtr0169691	male	female	-0.7928	0.577222723	6496	13237673
FBtr0169692	male	female	3.7828	13.7637339	6496	13207329
FBtr0169693	male	female	-1.089	0.470087101	6496	13199603
FBtr0169697	male	female	4.2688	19.27688451	6496	13169323
FBtr0169698	male	female	-0.6376	0.642781361	6496	13135618
FBtr0169699	male	female	-1.0257	0.491171923	6496	13133246
FBtr0169701	male	female	2.48	5.578974665	6496	13124770
FBtr0169703	male	female	2.0624	4.176805606	6496	13051902
FBtr0169705	male	female	-1.6274	0.323670997	6496	13042452
FBtr0169706	male	female	-0.8169	0.567660397	6496	13038968
FBtr0169707	male	female	0.9061	1.873972783	6496	13016437
FBtr0169708	male	female	-1.5701	0.336785049	6496	12998828
FBtr0169713	male	female	0.7792	1.716178957	6496	12902383
FBtr0169717	male	female	0.8393	1.789181815	6496	12839147
FBtr0169718	male	female	-2.8437	0.139303171	6496	12835495
FBtr0169719	male	female	-1.9854	0.252542832	6496	12802234
FBtr0169723	male	female	2.8614	7.267201959	6496	12763200
FBtr0169724	male	female	-1.818	0.283613871	6496	12739616
FBtr0169725	male	female	-1.9176	0.264694477	6496	12736855
FBtr0169727	male	female	-0.7068	0.612677595	6496	12710519
FBtr0169733	male	female	4.1608	17.88650985	6496	12585748
FBtr0169736	male	female	3.6856	12.86696596	6496	12507586
FBtr0169737	male	female	3.97	15.67072476	6496	12486250
FBtr0169739	male	female	-1.5484	0.341889021	6496	12391794
FBtr0169741	male	female	-0.9532	0.516485589	6496	12378941
FBtr0169743	male	female	1.778	3.429504147	6496	12319590
FBtr0169745	male	female	-0.7633	0.589147181	6496	12269505
FBtr0169747	male	female	1.546	2.920064021	6496	12230259
FBtr0169748	male	female	-1.4355	0.36971872	6496	12215407
FBtr0169750	male	female	-2.002	0.249653667	6496	12195461
FBtr0169751	male	female	3.6986	12.98343302	6496	12188272
FBtr0169752	male	female	-1.666	0.315125848	6496	12112067
FBtr0169753	male	female	0.6515	1.570800541	6496	12077197
FBtr0169757	male	female	4.2598	19.15700337	6496	12056014
FBtr0169758	male	female	4.0049	16.05443513	6496	12055546
FBtr0169759	male	female	3.6293	12.37451434	6496	12054814
FBtr0169760	male	female	4.9417	30.73264431	6496	12051757
FBtr0169761	male	female	-1.5242	0.347672292	6496	12000593
FBtr0169762	male	female	-2.0272	0.245330754	6496	11995060
FBtr0169766	male	female	2.2958	4.910261982	6496	11922384
FBtr0169767	male	female	4.0947	17.08549333	6496	11918351
FBtr0169770	male	female	1.0481	2.067804797	6496	11864454
FBtr0169776	male	female	4.7471	26.85464975	6496	11819845
FBtr0169780	male	female	-0.7144	0.609458546	6496	11809130
FBtr0169781	male	female	-0.7952	0.576263281	6496	11803007
FBtr0169783	male	female	0.7834	1.721182408	6496	11789120
FBtr0169784	male	female	-0.6296	0.646355598	6496	11787162
FBtr0169787	male	female	-0.718	0.607939642	6496	11780726
FBtr0169790	male	female	-1.6968	0.308469552	6496	11760483
FBtr0169792	male	female	-1.5016	0.353161505	6496	11753568
FBtr0169793	male	female	-2.1666	0.222734972	6496	11749188
FBtr0169796	male	female	-0.9226	0.527557408	6496	11672182
FBtr0169798	male	female	1.9886	3.96851704	6496	11609577
FBtr0169801	male	female	-1.0491	0.48326955	6496	11460619
FBtr0169803	male	female	1.1888	2.2796305	6496	11422069
FBtr0169807	male	female	2.9755	7.865290218	6496	11345334
FBtr0169812	male	female	-1.3727	0.38616786	6496	11275622
FBtr0169814	male	female	-1.0282	0.490321524	6496	11229920
FBtr0169821	male	female	-4.4108	0.047012884	6496	11183907
FBtr0169823	male	female	-1.7186	0.30384343	6496	11175335
FBtr0169824	male	female	-2.1597	0.223802801	6496	11169932
FBtr0169825	male	female	-1.6109	0.327394048	6496	11168585
FBtr0169827	male	female	-1.7654	0.294145119	6496	11135883
FBtr0169828	male	female	-1.3719	0.386382056	6496	11134714
FBtr0169829	male	female	0.8184	1.76344918	6496	11128307
FBtr0169831	male	female	-0.6798	0.624251808	6496	11119782
FBtr0169835	male	female	-2.3475	0.196486214	6496	11100534
FBtr0169836	male	female	0.9776	1.969186836	6496	11098546
FBtr0169840	male	female	-2.0295	0.244939949	6496	11060308
FBtr0169841	male	female	-1.8453	0.278297528	6496	11056113
FBtr0169842	male	female	-1.1916	0.437817037	6496	11050707
FBtr0169844	male	female	-1.0761	0.47430928	6496	10987054
FBtr0169847	male	female	-0.6259	0.648015398	6496	10906877
FBtr0169849	male	female	-1.9992	0.250138668	6496	10895373
FBtr0169850	male	female	-0.9064	0.533514727	6496	10892153
FBtr0169852	male	female	1.9441	3.847976531	6496	10814787
FBtr0169853	male	female	0.685	1.607701981	6496	10809423
FBtr0169854	male	female	0.6269	1.544243224	6496	10805186
FBtr0169858	male	female	-0.6915	0.61920971	6496	10772853
FBtr0169859	male	female	-0.842	0.557869661	6496	10769567
FBtr0169862	male	female	3.3036	9.873762887	6496	10753868
FBtr0169863	male	female	0.6272	1.544564373	6496	10752517
FBtr0169864	male	female	3.8843	14.76695026	6496	10748437
FBtr0169865	male	female	1.4702	2.770602997	6496	10744234
FBtr0169866	male	female	-2.3673	0.193807996	6496	10732545
FBtr0169868	male	female	-0.6489	0.637766401	6496	10679730
FBtr0169870	male	female	-0.6945	0.617923437	6496	10670700
FBtr0169875	male	female	-0.8287	0.563036361	6496	10559416
FBtr0169883	male	female	-2.6202	0.162645183	6496	10507629
FBtr0169884	male	female	0.8333	1.781756268	6496	10505220
FBtr0169885	male	female	1.8857	3.695321789	6496	10489370
FBtr0169886	male	female	0.6123	1.528694371	6496	10486010
FBtr0169890	male	female	-0.6325	0.645057647	6496	10381141
FBtr0169891	male	female	-1.0202	0.493047997	6496	10378277
FBtr0169892	male	female	-1.0684	0.476847547	6496	10376256
FBtr0169893	male	female	-2.2633	0.208294984	6496	10366260
FBtr0169894	male	female	0.7327	1.661746137	6496	10272238
FBtr0169896	male	female	-1.6268	0.323805636	6496	10270002
FBtr0169897	male	female	0.7207	1.647981446	6496	10264493
FBtr0169902	male	female	-1.1332	0.455903377	6496	10222455
FBtr0169903	male	female	0.9648	1.951792927	6496	10220170
FBtr0169904	male	female	1.3498	2.548767896	6496	10216484
FBtr0169906	male	female	0.6826	1.605029707	6496	10192499
FBtr0169909	male	female	-1.8953	0.268817693	6496	10180588
FBtr0169910	male	female	-1.3214	0.400146446	6496	10173958
FBtr0169911	male	female	-0.756	0.592135806	6496	10170509
FBtr0169912	male	female	0.7458	1.676903885	6496	10139918
FBtr0169914	male	female	-1.904	0.267201498	6496	10134490
FBtr0169915	male	female	4.2269	18.72508029	6496	10132456
FBtr0169916	male	female	-2.1505	0.225234542	6496	10100042
FBtr0169918	male	female	-1.7039	0.306955197	6496	10092058
FBtr0169919	male	female	-1.0125	0.495686544	6496	10090273
FBtr0169920	male	female	-0.6377	0.642736808	6496	10087344
FBtr0169922	male	female	-1.502	0.353063601	6496	10085037
FBtr0169924	male	female	-1.1852	0.43976357	6496	10008881
FBtr0169925	male	female	-1.8562	0.276202829	6496	9999895
FBtr0169926	male	female	2.5974	6.051949713	6496	9991117
FBtr0169927	male	female	-0.8408	0.558333877	6496	9974842
FBtr0169929	male	female	-1.1186	0.46054052	6496	9940107
FBtr0169930	male	female	-0.7984	0.574986504	6496	9935192
FBtr0169932	male	female	0.9804	1.973012368	6496	9858385
FBtr0169933	male	female	-1.358	0.39012274	6496	9822921
FBtr0169935	male	female	3.0868	8.496095601	6496	9793303
FBtr0169937	male	female	1.3924	2.625150254	6496	9721292
FBtr0169940	male	female	-1.3219	0.40000779	6496	9594213
FBtr0169941	male	female	-1.1803	0.441259731	6496	9590256
FBtr0169942	male	female	-1.3343	0.396584446	6496	9586285
FBtr0169943	male	female	0.9867	1.981647012	6496	9543606
FBtr0169946	male	female	1.3054	2.471522431	6496	9489810
FBtr0169949	male	female	-2.3866	0.191232548	6496	9372056
FBtr0169950	male	female	-0.7325	0.601860066	6496	9346523
FBtr0169954	male	female	-0.8941	0.538082764	6496	9241151
FBtr0169957	male	female	-0.9018	0.535218541	6496	9217205
FBtr0169958	male	female	3.8501	14.42100696	6496	9216430
FBtr0169959	male	female	-0.814	0.568802614	6496	9208505
FBtr0169960	male	female	0.8185	1.763571417	6496	9199488
FBtr0169961	male	female	0.8566	1.810765846	6496	9158293
FBtr0169967	male	female	-2.0241	0.245858476	6496	9119885
FBtr0169968	male	female	4.5011	22.64467612	6496	9108484
FBtr0169970	male	female	3.6026	12.14760502	6496	9102517
FBtr0169974	male	female	-1.3876	0.382200084	6496	9091300
FBtr0169976	male	female	-0.7493	0.594892131	6496	9061440
FBtr0169978	male	female	-1.004	0.498615626	6496	9027422
FBtr0169979	male	female	4.195	18.31558657	6496	8980414
FBtr0169983	male	female	-1.8815	0.271401387	6496	8939909
FBtr0169984	male	female	-0.884	0.541862983	6496	8935192
FBtr0169985	male	female	-0.8478	0.555631386	6496	8901548
FBtr0169986	male	female	1.2184	2.326885143	6496	8882213
FBtr0169987	male	female	0.7278	1.656111721	6496	8857824
FBtr0169989	male	female	3.6691	12.72064571	6496	8846810
FBtr0169990	male	female	-1.7049	0.306742505	6496	8835199
FBtr0169992	male	female	-0.6257	0.648105238	6496	8804982
FBtr0169993	male	female	-0.625	0.648419777	6496	8798962
FBtr0169994	male	female	0.6782	1.600142068	6496	8783927
FBtr0169995	male	female	1.2775	2.424185334	6496	8771465
FBtr0169996	male	female	1.801	3.484616769	6496	8768132
FBtr0169997	male	female	3.2488	9.505746973	6496	8763145
FBtr0169998	male	female	0.6421	1.560599129	6496	8755601
FBtr0170000	male	female	-3.3447	0.098433964	6496	8725862
FBtr0170001	male	female	0.85	1.802500925	6496	8668685
FBtr0170013	male	female	2.8439	7.179582737	6496	8382789
FBtr0170014	male	female	2.7775	6.856631554	6496	8379323
FBtr0170015	male	female	-1.1604	0.447388476	6496	8367015
FBtr0170016	male	female	-1.5056	0.352183689	6496	8362703
FBtr0170020	male	female	2.0369	4.10362813	6496	8343582
FBtr0170021	male	female	-2.7019	0.153690511	6496	8332064
FBtr0170022	male	female	1.1285	2.186313065	6496	8329716
FBtr0170025	male	female	-1.6851	0.310981357	6496	8259077
